epoch,step,loss,lr,time_ms,tokens_per_sec
1,4,4.673472,0.000300,120,2127.29
2,8,2.876112,0.000300,95,2689.32
3,12,2.173687,0.000300,93,2750.51
4,16,1.859799,0.000300,93,2734.61
5,20,1.664638,0.000300,93,2751.41
6,24,1.504205,0.000300,93,2733.94
7,28,1.369450,0.000300,94,2701.31
8,32,1.247402,0.000300,94,2708.79
9,36,1.136929,0.000300,93,2734.76
10,40,1.034778,0.000300,92,2767.18
11,44,0.946136,0.000300,92,2753.70
12,48,0.872501,0.000300,92,2780.49
13,52,0.808841,0.000300,92,2777.55
14,56,0.751819,0.000300,91,2792.49
15,60,0.703951,0.000300,92,2771.96
16,64,0.664505,0.000300,91,2783.43
17,68,0.634291,0.000300,92,2777.03
18,72,0.609965,0.000300,94,2696.92
19,76,0.589997,0.000300,91,2783.71
20,80,0.574442,0.000300,92,2767.15
21,84,0.561653,0.000300,93,2734.03
22,88,0.552564,0.000300,94,2704.79
23,92,0.544411,0.000300,94,2703.07
24,96,0.538258,0.000300,102,2498.82
25,100,0.532984,0.000300,99,2568.58
26,104,0.528400,0.000300,93,2740.38
27,108,0.524284,0.000300,92,2753.19
28,112,0.521301,0.000300,92,2769.06
29,116,0.518481,0.000300,92,2770.14
30,120,0.516020,0.000300,92,2772.57
31,124,0.513506,0.000300,91,2783.02
32,128,0.511581,0.000300,92,2777.88
33,132,0.509713,0.000300,91,2787.80
34,136,0.508143,0.000300,92,2778.74
35,140,0.506467,0.000300,91,2783.30
36,144,0.505112,0.000300,92,2778.02
37,148,0.503776,0.000300,91,2786.78
38,152,0.502688,0.000300,91,2782.82
39,156,0.501489,0.000300,92,2780.77
40,160,0.500496,0.000300,92,2765.11
41,164,0.499454,0.000300,92,2782.35
42,168,0.498616,0.000300,92,2775.40
43,172,0.497699,0.000300,92,2758.03
44,176,0.496945,0.000300,93,2730.05
45,180,0.496128,0.000300,94,2722.02
46,184,0.495452,0.000300,91,2789.43
47,188,0.494706,0.000300,92,2774.86
48,192,0.494101,0.000300,93,2752.60
49,196,0.493430,0.000300,92,2764.53
50,200,0.492884,0.000300,92,2777.69
51,204,0.492267,0.000300,92,2763.75
52,208,0.491765,0.000300,92,2769.65
53,212,0.491197,0.000300,92,2777.60
54,216,0.490736,0.000300,92,2780.29
55,220,0.490216,0.000300,91,2791.51
56,224,0.489792,0.000300,92,2776.22
57,228,0.489309,0.000300,92,2767.97
58,232,0.488911,0.000300,92,2774.60
59,236,0.488461,0.000300,92,2781.17
60,240,0.488093,0.000300,92,2772.75
61,244,0.487676,0.000300,92,2772.54
62,248,0.487329,0.000300,92,2774.66
63,252,0.486936,0.000300,92,2774.87
64,256,0.486611,0.000300,92,2778.42
65,260,0.486245,0.000300,92,2768.65
66,264,0.485937,0.000300,92,2773.17
67,268,0.485592,0.000300,91,2783.37
68,272,0.485301,0.000300,92,2759.28
69,276,0.484976,0.000300,92,2777.10
70,280,0.484700,0.000300,92,2776.92
71,284,0.484393,0.000300,92,2766.08
72,288,0.484130,0.000300,92,2767.17
73,292,0.483840,0.000300,92,2772.74
74,296,0.483589,0.000300,92,2765.23
75,300,0.483315,0.000300,94,2704.45
76,304,0.483074,0.000300,95,2692.28
77,308,0.482814,0.000300,94,2715.91
78,312,0.482583,0.000300,92,2759.75
79,316,0.482336,0.000300,92,2760.69
80,320,0.482114,0.000300,92,2769.51
81,324,0.481879,0.000300,92,2781.12
82,328,0.481666,0.000300,92,2764.97
83,332,0.481442,0.000300,92,2765.00
84,336,0.481237,0.000300,92,2780.59
85,340,0.481023,0.000300,92,2764.85
86,344,0.480825,0.000300,92,2775.66
87,348,0.480620,0.000300,92,2779.12
88,352,0.480429,0.000300,92,2772.81
89,356,0.480233,0.000300,92,2776.39
90,360,0.480049,0.000300,91,2784.45
91,364,0.479861,0.000300,92,2772.94
92,368,0.479683,0.000300,92,2778.90
93,372,0.479502,0.000300,92,2769.17
94,376,0.479330,0.000300,92,2776.50
95,380,0.479156,0.000300,92,2762.98
96,384,0.478990,0.000300,91,2784.91
97,388,0.478822,0.000300,92,2759.56
98,392,0.478661,0.000300,92,2767.48
99,396,0.478499,0.000300,92,2776.51
100,400,0.478343,0.000300,92,2777.38
